a_account_type,a_fund_seg1,master_object,master_project,master_org,account_name,department,division,cy_revised,ly_actual,ly_actual_closed,ly2_actual,object_name,character_code,character_code_name,org_name,default_year,default_period,munis_year,munis_period,fund_name,dept_name,division_name,budget_projection_used,budget_org,budget_object,budget_project,ny_budget_prelim,ny_budget_adopted,ny2_budget_prelim,ny2_budget_adopted
E,1,310000, ,2955720,Office and Operating Supplies ,3,29,0,0,0,0,Office and Operating Supplies ,30,SUPPLIES,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,310000, ,900,900,900,900
E,1,313100, ,851880,Computer Related Supplies     ,5,8,2000,3039.79,3039.79,1387.03,Computer Related Supplies     ,30,SUPPLIES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,313100, ,0,0,0,0
E,1,320000, ,1051530,Fuel Consumed                 ,6,10,1000,914.92,914.92,879.37,Fuel Consumed                 ,30,SUPPLIES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,320000, ,1000,1000,1000,1000
E,1,320000, ,1354190,Fuel Consumed                 ,11,13,1500,832.88,832.88,1054.5,Fuel Consumed                 ,30,SUPPLIES,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,320000, ,1200,1200,1200,1200
E,1,320000, ,1455850,Fuel Consumed                 ,13,14,5000,2145.87,2145.87,2363.87,Fuel Consumed                 ,30,SUPPLIES,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,320000, ,2400,2400,2400,2400
E,1,320000, ,1657100,Fuel Consumed                 ,14,16,0,1360.62,1360.62,0,Fuel Consumed                 ,30,SUPPLIES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,320000, ,16500,16500,16500,16500
E,1,320000, ,1757100,Fuel Consumed                 ,14,17,17300,15794.62,15794.62,14150.59,Fuel Consumed                 ,30,SUPPLIES,Recreation                    ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1757100,320000, ,7000,7000,7000,7000
E,1,320000, ,1857550,Fuel Consumed                 ,14,18,12000,10472.7,10472.7,8072.14,Fuel Consumed                 ,30,SUPPLIES,Parks Facilities              ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857550,320000, ,15200,15200,15200,15200
E,1,337105, ,1252120,SRO Reimbursement             ,8,12,0,0,0,0,SRO Reimbursement             ,33,INTERGOVT REVENUE,Police Operations             ,2019,1,2018,12,GENERAL,POLICE,Police,18,1252120,337105, ,0,0,0,0
E,1,350000, ,151160,Small Tools & Minor Equipment ,1,1,0,0,0,12.59,Small Tools & Minor Equipment ,30,SUPPLIES,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,350000, ,700,700,700,700
E,1,350000, ,251310,Small Tools & Minor Equipment ,3,2,200,3487.96,3487.96,0,Small Tools & Minor Equipment ,30,SUPPLIES,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,350000, ,0,0,0,0
E,1,350000, ,351310,Small Tools & Minor Equipment ,5,3,0,0,0,0,Small Tools & Minor Equipment ,30,SUPPLIES,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,350000, ,0,0,0,0
E,1,350000, ,455870,Small Tools & Minor Equipment ,3,4,0,416.55,416.55,0,Small Tools & Minor Equipment ,30,SUPPLIES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,350000, ,0,0,0,0
E,1,350000, ,551420,Small Tools & Minor Equipment ,5,5,0,0,0,0,Small Tools & Minor Equipment ,30,SUPPLIES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,350000, ,0,0,0,0
E,1,350000, ,651810,Small Tools & Minor Equipment ,5,6,0,3055.11,3055.11,0,Small Tools & Minor Equipment ,30,SUPPLIES,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,350000, ,0,0,0,0
E,1,350000, ,751420,Small Tools & Minor Equipment ,4,7,0,15848.75,15848.75,252.83,Small Tools & Minor Equipment ,30,SUPPLIES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,350000, ,0,0,0,0
E,1,350000, ,851880,Small Tools & Minor Equipment ,5,8,20000,10357.59,10357.59,11408.66,Small Tools & Minor Equipment ,30,SUPPLIES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,350000, ,13700,13700,13700,13700
E,1,350000, ,951420,Small Tools & Minor Equipment ,4,9,0,0,0,0,Small Tools & Minor Equipment ,30,SUPPLIES,Citywide                      ,2019,1,2018,12,GENERAL,FINANCE,Citywide,18,951420,350000, ,0,0,0,0
E,1,350000, ,1051530,Small Tools & Minor Equipment ,6,10,0,2145.84,2145.84,0,Small Tools & Minor Equipment ,30,SUPPLIES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,350000, ,0,0,0,0
E,1,350000, ,1252120,Small Tools & Minor Equipment ,8,12,5000,14697.28,14697.28,1197.98,Small Tools & Minor Equipment ,30,SUPPLIES,Police Operations             ,2019,1,2018,12,GENERAL,POLICE,Police,18,1252120,350000, ,5000,5000,5000,5000
E,1,350000, ,1354190,Small Tools & Minor Equipment ,11,13,0,1668.74,1668.74,0,Small Tools & Minor Equipment ,30,SUPPLIES,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,350000, ,0,0,0,0
E,1,350000, ,1455850,Small Tools & Minor Equipment ,13,14,500,884.39,884.39,135.5,Small Tools & Minor Equipment ,30,SUPPLIES,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,350000, ,0,0,0,0
E,1,350000, ,1555860,Small Tools & Minor Equipment ,13,15,0,609.4,609.4,0,Small Tools & Minor Equipment ,30,SUPPLIES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,350000, ,0,0,0,0
E,1,350000, ,1657100,Small Tools & Minor Equipment ,14,16,1800,11570.6,11570.6,5554.36,Small Tools & Minor Equipment ,30,SUPPLIES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,350000, ,1800,1800,1800,1800
E,1,350000, ,1756900,Small Tools & Minor Equipment ,14,17,0,60.15,60.15,0,Small Tools & Minor Equipment ,30,SUPPLIES,Senior Services               ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1756900,350000, ,0,0,0,0
E,1,350000, ,1757100,Small Tools & Minor Equipment ,14,17,100,647.61,647.61,2546.13,Small Tools & Minor Equipment ,30,SUPPLIES,Recreation                    ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1757100,350000, ,0,0,0,0
E,1,350000, ,1857550,Small Tools & Minor Equipment ,14,18,0,0,0,0,Small Tools & Minor Equipment ,30,SUPPLIES,Parks Facilities              ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857550,350000, ,0,0,0,0
E,1,350000, ,1857680,Small Tools & Minor Equipment ,14,18,18510,2501.21,2501.21,5233.77,Small Tools & Minor Equipment ,30,SUPPLIES,Parks Maintenance             ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857680,350000, ,19900,19900,3400,3400
E,1,350000, ,2955720,Small Tools & Minor Equipment ,3,29,0,0,0,0,Small Tools & Minor Equipment ,30,SUPPLIES,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,350000, ,0,0,0,0
E,1,350010, ,1252120,Police Explorer Program       ,8,12,2000,1855.49,1855.49,1400.85,Police Explorer Program       ,30,SUPPLIES,Police Operations             ,2019,1,2018,12,GENERAL,POLICE,Police,18,1252120,350010, ,5000,5000,5000,5000
E,1,410000, ,151160,Professional Services         ,1,1,8000,4462,4462,1163.68,Professional Services         ,40,SERVICES,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,410000, ,4500,4500,4500,4500
E,1,410000, ,251310,Professional Services         ,3,2,682355,127570.63,127570.63,126878.28,Professional Services         ,40,SERVICES,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,410000, ,326000,326000,320000,320000
E,1,410000, ,351310,Professional Services         ,5,3,0,0,0,0,Professional Services         ,40,SERVICES,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,410000, ,40350,40350,75350,75350
E,1,410000, ,455870,Professional Services         ,3,4,275000,53287.29,53287.29,347879.05,Professional Services         ,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,410000, ,263000,263000,195000,195000
E,1,410000, ,551420,Professional Services         ,5,5,18000,15131.67,15131.67,1395.62,Professional Services         ,40,SERVICES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,410000, ,14500,14500,14500,14500
E,1,410000, ,651810,Professional Services         ,5,6,26000,1552.45,1552.45,5551.71,Professional Services         ,40,SERVICES,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,410000, ,26000,26000,26000,26000
E,1,410000, ,751420,Professional Services         ,4,7,80000,47664.51,47664.51,46353.89,Professional Services         ,40,SERVICES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,410000, ,84000,84000,69000,69000
E,1,410000, ,851880,Professional Services         ,5,8,35000,3696.25,3696.25,34004.93,Professional Services         ,40,SERVICES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,410000, ,24000,24000,24000,24000
E,1,410000, ,1051530,Professional Services         ,6,10,10000,11106.18,11106.18,7241.5,Professional Services         ,40,SERVICES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,410000, ,10000,10000,10000,10000
E,1,410000, ,1252120,Professional Services         ,8,12,0,6617,6617,9368.38,Professional Services         ,40,SERVICES,Police Operations             ,2019,1,2018,12,GENERAL,POLICE,Police,18,1252120,410000, ,0,0,0,0
E,1,410000, ,1354190,Professional Services         ,11,13,90000,12818.25,12818.25,7874.16,Professional Services         ,40,SERVICES,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,410000, ,75000,75000,75000,75000
E,1,410000, ,1455850,Professional Services         ,13,14,225000,20388.88,20388.88,86531.76,Professional Services         ,40,SERVICES,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,410000, ,180000,180000,30000,30000
E,1,410000, ,1555860,Professional Services         ,13,15,75000,0,0,3191.76,Professional Services         ,40,SERVICES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,410000, ,25000,25000,25000,25000
E,1,410000, ,1657100,Professional Services         ,14,16,400,3153.58,3153.58,1014.55,Professional Services         ,40,SERVICES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,410000, ,725,725,725,725
E,1,410000, ,1756900,Professional Services         ,14,17,66500,374,374,445,Professional Services         ,40,SERVICES,Senior Services               ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1756900,410000, ,0,0,0,0
E,1,410000, ,1757100,Professional Services         ,14,17,68900,49904.65,49904.65,57366.25,Professional Services         ,40,SERVICES,Recreation                    ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1757100,410000, ,77100,77100,77100,77100
E,1,410000, ,1857550,Professional Services         ,14,18,1200,522.05,522.05,1576.8,Professional Services         ,40,SERVICES,Parks Facilities              ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857550,410000, ,3000,3000,3000,3000
E,1,410000, ,1857680,Professional Services         ,14,18,40800,28231.38,28231.38,24632.6,Professional Services         ,40,SERVICES,Parks Maintenance             ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857680,410000, ,40800,40800,40800,40800
E,1,410000, ,2955720,Professional Services         ,3,29,17645,0,0,0,Professional Services         ,40,SERVICES,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,410000, ,53000,53000,35000,35000
E,1,410010, ,151170,Federal Lobbying Services     ,3,2,21000,20400,20400,19500,Federal Lobbying Services     ,40,SERVICES,Lobbying Activities           ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,151170,410010, ,27000,27000,30000,30000
E,1,410020, ,151170,State Lobbying Services       ,3,2,44000,39875,39875,43500,State Lobbying Services       ,40,SERVICES,Lobbying Activities           ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,151170,410020, ,47000,47000,50000,50000
E,1,410050, ,251310,Burien Magazine               ,3,2,35000,28275.66,28275.66,0,Burien Magazine               ,40,SERVICES,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,410050, ,0,0,0,0
E,1,410050, ,351310,Burien Magazine               ,5,3,0,0,0,0,Burien Magazine               ,40,SERVICES,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,410050, ,8300,8300,2800,2800
E,1,410050, ,455870,Burien Magazine               ,3,4,0,0,0,22472.08,Burien Magazine               ,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,410050, ,0,0,0,0
E,1,410100, ,551420,Business License Services     ,5,5,0,48208.32,48208.32,0,Business License Services     ,40,SERVICES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,410100, ,0,0,0,0
E,1,410150, ,1051530,Overflow Legal Services       ,6,10,20000,36678.97,36678.97,18085.59,Overflow Legal Services       ,40,SERVICES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,410150, ,20000,20000,20000,20000
E,1,410200, ,1555860,Engr Fees-Reimbursable        ,13,15,10000,0,0,0,Engr Fees-Reimbursable        ,40,SERVICES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,410200, ,10000,10000,10000,10000
E,1,410250, ,1051530,Litigation-Consulting Services,6,10,75000,121590.08,121590.08,54862.24,Litigation-Consulting Services,40,SERVICES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,410250, ,75000,75000,75000,75000
E,1,410300, ,1555860,Hearing Exam Nonreimbursed    ,13,15,7000,7709,7709,0,Hearing Exam Nonreimbursed    ,40,SERVICES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,410300, ,8000,8000,8000,8000
E,1,410350, ,1857680,Seasonal Security             ,14,18,18400,12194,12194,17365,Seasonal Security             ,40,SERVICES,Parks Maintenance             ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857680,410350, ,18400,18400,18400,18400
E,1,410400, ,851880,Website                       ,5,8,10000,18665.11,18665.11,10443.01,Website                       ,40,SERVICES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,410400, ,10000,10000,10000,10000
E,1,410450, ,455870,Discover Burien               ,3,4,75000,73500,73500,76831.66,Discover Burien               ,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,410450, ,89000,89000,89000,89000
E,1,410500, ,455870,Discover Burien - Clean & Safe,3,4,40000,39980,39980,36648.34,Discover Burien - Clean & Safe,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,410500, ,40000,40000,40000,40000
E,1,410650, ,1757100,Strawberry Festival           ,14,17,34200,33464.85,33464.85,27413.1,Strawberry Festival           ,40,SERVICES,Recreation                    ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1757100,410650, ,0,0,0,0
E,1,410700, ,851880,Online Video Streaming        ,5,8,3000,3495,3495,5018.78,Online Video Streaming        ,40,SERVICES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,410700, ,4000,4000,4000,4000
E,1,410750, ,851880,Channel 21 Video Production   ,5,8,30000,19431.91,19431.91,14496.08,Channel 21 Video Production   ,40,SERVICES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,410750, ,45000,45000,45000,45000
E,1,410800, ,1857550,Building Security             ,14,18,2800,2550.91,2550.91,2565.3,Building Security             ,40,SERVICES,Parks Facilities              ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857550,410800, ,2800,2800,2800,2800
E,1,410850, ,1756900,Instructors Prof Svcs         ,14,17,71500,66322.65,66322.65,73602.12,Instructors Prof Svcs         ,40,SERVICES,Senior Services               ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1756900,410850, ,47500,47500,47500,47500
E,1,410850, ,1757100,Instructors Prof Svcs         ,14,17,76100,82901.66,82901.66,84883.7,Instructors Prof Svcs         ,40,SERVICES,Recreation                    ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1757100,410850, ,112000,112000,112000,112000
E,1,410900, ,1757100,Arts and Culture Grants       ,14,17,20000,26400,26400,20000,Arts and Culture Grants       ,40,SERVICES,Recreation                    ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1757100,410900, ,20000,20000,20000,20000
E,1,410950, ,751420,Human Svc-Family/Youth        ,4,7,0,0,0,0,Human Svc-Family/Youth        ,40,SERVICES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,410950, ,0,0,0,0
E,1,410950, ,951420,Human Svc-Family/Youth        ,4,9,320000,317034.31,317034.31,294745.49,Human Svc-Family/Youth        ,40,SERVICES,Citywide                      ,2019,1,2018,12,GENERAL,FINANCE,Citywide,18,951420,410950, ,0,0,0,0
E,1,410950, ,2955720,Human Svc-Family/Youth        ,3,29,0,0,0,0,Human Svc-Family/Youth        ,40,SERVICES,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,410950, ,390000,390000,390000,390000
E,1,411000, ,1857680,Parks Maintenance             ,14,18,488600,413324.05,413324.05,417705.97,Parks Maintenance             ,40,SERVICES,Parks Maintenance             ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857680,411000, ,0,0,0,0
E,1,411100, ,455870,Burien Marketing Strategy     ,3,4,146000,53420.39,53420.39,90110.13,Burien Marketing Strategy     ,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,411100, ,165000,165000,148000,148000
E,1,411150, ,455870,SW King Co. Chamber of Comm.  ,3,4,22000,3600,3600,0,SW King Co. Chamber of Comm.  ,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,411150, ,3600,3600,3600,3600
E,1,411200, ,455870,Small Business Dev. Center    ,3,4,10000,10000,10000,10000,Small Business Dev. Center    ,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,411200, ,10000,10000,10000,10000
E,1,411250, ,1657100,Recreation Guide              ,14,16,30000,29895.18,29895.18,26935.88,Recreation Guide              ,40,SERVICES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,411250, ,12000,12000,12000,12000
E,1,411300, ,955430,Animal Control Services       ,4,9,245000,217164.2,217164.2,175776.28,Animal Control Services       ,40,SERVICES,Animal Control                ,2019,1,2018,12,GENERAL,FINANCE,Citywide,18,955430,411300, ,250000,250000,250000,250000
E,1,411350, ,1857680,Seahurst Seawall Monitoring   ,14,18,30000,0,0,0,Seahurst Seawall Monitoring   ,40,SERVICES,Parks Maintenance             ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Maintenance,18,1857680,411350, ,0,0,0,0
E,1,411400, ,751420,Sales Tax Auditing Costs      ,4,7,0,1222.19,1222.19,2370.96,Sales Tax Auditing Costs      ,40,SERVICES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,411400, ,0,0,0,0
E,1,411450, ,751420,B&O Tax Collect and Audit     ,4,7,0,34287.72,34287.72,31643.6,B&O Tax Collect and Audit     ,40,SERVICES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,411450, ,0,0,0,0
E,1,411500, ,1757100,Teen Late Night Security      ,14,17,8600,7852.76,7852.76,9210.05,Teen Late Night Security      ,40,SERVICES,Recreation                    ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Recreation,18,1757100,411500, ,8600,8600,8600,8600
E,1,411550, ,151160,Advertising                   ,1,1,0,0,0,495,Advertising                   ,40,SERVICES,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,411550, ,0,0,0,0
E,1,411550, ,251310,Advertising                   ,3,2,0,194.43,194.43,85,Advertising                   ,40,SERVICES,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,411550, ,0,0,0,0
E,1,411550, ,351310,Advertising                   ,5,3,0,0,0,0,Advertising                   ,40,SERVICES,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,411550, ,1000,1000,1000,1000
E,1,411550, ,455870,Advertising                   ,3,4,0,0,0,143,Advertising                   ,40,SERVICES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,411550, ,0,0,0,0
E,1,411550, ,551420,Advertising                   ,5,5,5000,3407.63,3407.63,3371.13,Advertising                   ,40,SERVICES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,411550, ,3500,3500,3500,3500
E,1,411550, ,651810,Advertising                   ,5,6,5000,2077,2077,4226.46,Advertising                   ,40,SERVICES,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,411550, ,5000,5000,5000,5000
E,1,411550, ,751420,Advertising                   ,4,7,500,0,0,357.38,Advertising                   ,40,SERVICES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,411550, ,0,0,0,0
E,1,411550, ,1354190,Advertising                   ,11,13,0,0,0,169.74,Advertising                   ,40,SERVICES,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,411550, ,0,0,0,0
E,1,411550, ,1455850,Advertising                   ,13,14,0,0,0,0,Advertising                   ,40,SERVICES,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,411550, ,0,0,0,0
E,1,411550, ,1555860,Advertising                   ,13,15,4600,7981.67,7981.67,4710.59,Advertising                   ,40,SERVICES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,411550, ,6000,6000,6000,6000
E,1,411550, ,1657100,Advertising                   ,14,16,1000,815.78,815.78,1630,Advertising                   ,40,SERVICES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,411550, ,1000,1000,1000,1000
E,1,414050, ,1051530,Domestic Violence Advocate    ,6,10,25000,22019.98,22019.98,20667,Domestic Violence Advocate    ,40,SERVICES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,414050, ,25000,25000,25000,25000
E,1,414090, ,1555860,Comprehensive Plan Costs      ,13,15,0,0,0,953.75,Comprehensive Plan Costs      ,40,SERVICES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,414090, ,0,0,0,0
E,1,414100, ,551420,Software Licensing Fees       ,5,5,13000,12375,12375,0,Software Licensing Fees       ,40,SERVICES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,414100, ,13000,13000,13000,13000
E,1,414100, ,651810,Software Licensing Fees       ,5,6,1600,1418.03,1418.03,1418.03,Software Licensing Fees       ,40,SERVICES,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,414100, ,1600,1600,1600,1600
E,1,414100, ,751420,Software Licensing Fees       ,4,7,30000,28770.04,28770.04,28080.76,Software Licensing Fees       ,40,SERVICES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,414100, ,42500,42500,45000,45000
E,1,414100, ,851880,Software Licensing Fees       ,5,8,139300,100859.59,100859.59,68004.79,Software Licensing Fees       ,40,SERVICES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,414100, ,139440,139440,213740,213740
E,1,414100, ,955430,Software Licensing Fees       ,4,9,0,0,0,0,Software Licensing Fees       ,40,SERVICES,Animal Control                ,2019,1,2018,12,GENERAL,FINANCE,Citywide,18,955430,414100, ,0,0,0,0
E,1,414100, ,1354190,Software Licensing Fees       ,11,13,0,0,0,0,Software Licensing Fees       ,40,SERVICES,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,414100, ,250,250,250,250
E,1,414100, ,1455850,Software Licensing Fees       ,13,14,25000,25836.7,25836.7,19861.83,Software Licensing Fees       ,40,SERVICES,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,414100, ,23500,23500,23500,23500
E,1,414100, ,1555860,Software Licensing Fees       ,13,15,0,0,0,51.47,Software Licensing Fees       ,40,SERVICES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,414100, ,0,0,0,0
E,1,414100, ,1657100,Software Licensing Fees       ,14,16,6900,25657.63,25657.63,8097.3,Software Licensing Fees       ,40,SERVICES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,414100, ,10800,10800,10800,10800
E,1,414110, ,1351830,City Hall Bldg Maintenance    ,11,13,175000,150664.52,150664.52,123291.61,City Hall Bldg Maintenance    ,40,SERVICES,City Hall Maintenance         ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1351830,414110, ,160000,160000,164000,164000
E,1,414120, ,551420,Code Supplement               ,5,5,7000,6107.75,6107.75,4874.89,Code Supplement               ,40,SERVICES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,414120, ,5000,5000,5000,5000
E,1,414130, ,1151593,Probatn/Publc Defndr Screenng ,6,11,15000,10620,10620,10850,Probatn/Publc Defndr Screenng ,40,SERVICES,Public Defense                ,2019,1,2018,12,GENERAL,LEGAL,Public Defender,18,1151593,414130, ,15000,15000,15000,15000
